,Year,Num_Teams,Points/G,Yds/G,Plays,TO,Fumbles,Cmp,Pass Att,Pass Yds,Pass TD,Int,Rush Att,Rush Yds,Rush TD
0,2021,32,23.0,343.6,63.3,1.3,0.5,22.3,34.4,228.3,1.5,0.8,26.6,115.2,0.9
1,2020,32,24.8,359.0,64.3,1.3,0.5,23.0,35.2,240.2,1.7,0.8,26.9,118.9,1.0
2,2019,32,22.8,347.9,63.5,1.4,0.6,22.1,34.9,235.0,1.6,0.8,26.1,112.9,0.9
3,2018,32,23.3,352.2,62.9,1.4,0.5,22.4,34.5,237.8,1.7,0.8,25.9,114.5,0.9
4,2017,32,21.7,334.1,63.4,1.4,0.5,21.2,34.2,224.4,1.4,0.8,26.9,109.7,0.7
5,2016,32,22.8,350.4,63.9,1.4,0.6,22.5,35.7,241.5,1.5,0.8,26.0,108.9,0.9
6,2015,32,22.8,352.7,64.4,1.5,0.6,22.5,35.7,243.8,1.6,0.9,26.3,108.8,0.7
7,2014,32,22.6,348.1,64.0,1.5,0.6,21.9,34.9,236.8,1.6,0.9,26.7,111.3,0.7
8,2013,32,23.4,348.5,65.0,1.6,0.6,21.7,35.4,235.6,1.6,1.0,27.1,112.9,0.8
9,2012,32,22.8,347.2,64.2,1.6,0.6,21.2,34.7,231.3,1.5,0.9,27.2,115.9,0.8
10,2011,32,22.2,346.8,63.6,1.6,0.6,20.4,34.0,229.7,1.5,1.0,27.3,117.1,0.8
11,2010,32,22.0,336.0,63.1,1.7,0.7,20.5,33.7,221.6,1.5,1.0,27.2,114.5,0.8
12,2009,32,21.5,335.1,62.9,1.7,0.7,20.3,33.3,218.5,1.4,1.0,27.5,116.7,0.8
13,2008,32,22.0,327.2,61.9,1.5,0.6,19.7,32.3,211.3,1.3,0.9,27.6,116.0,0.9
14,2007,32,21.7,325.2,62.8,1.8,0.8,20.4,33.3,214.3,1.4,1.0,27.3,110.9,0.8
15,2006,32,20.7,322.1,62.5,1.8,0.7,19.1,32.0,204.8,1.3,1.0,28.2,117.3,0.8
16,2005,32,20.6,315.9,62.5,1.8,0.8,19.1,32.2,203.5,1.3,1.0,28.1,112.5,0.8
17,2004,32,21.5,327.2,62.5,1.8,0.7,19.1,31.9,210.5,1.4,1.0,28.2,116.6,0.8
18,2003,32,20.8,318.3,62.7,1.8,0.7,18.9,32.2,200.4,1.3,1.1,28.3,117.9,0.8
19,2002,32,21.7,328.4,63.6,1.8,0.8,20.1,33.8,212.2,1.4,1.0,27.5,116.1,0.9
20,2001,31,20.2,317.6,62.6,1.9,0.8,19.2,32.6,205.8,1.3,1.1,27.6,111.8,0.7
21,2000,31,20.7,319.4,63.0,1.9,0.8,19.1,32.9,206.9,1.3,1.1,27.6,112.6,0.8
22,1999,31,20.8,318.8,63.6,1.9,0.8,19.3,33.8,212.3,1.3,1.1,27.3,106.5,0.7
23,1998,30,21.3,317.7,63.1,1.8,0.7,18.3,32.3,205.0,1.4,1.1,28.3,112.7,0.8
24,1997,30,20.7,314.9,63.8,1.8,0.8,18.4,32.8,201.8,1.3,1.0,28.4,113.0,0.8
25,1996,30,20.4,316.4,63.9,1.9,0.8,19.2,33.3,207.4,1.3,1.1,28.3,109.0,0.8
26,1995,30,21.5,328.9,64.5,1.9,0.8,20.2,34.8,220.8,1.4,1.1,27.5,108.1,0.8
27,1994,28,20.3,317.9,63.7,1.9,0.8,19.5,33.6,213.6,1.3,1.1,28.0,104.3,0.8
28,1993,28,18.7,310.6,62.8,1.9,0.9,18.6,32.2,200.6,1.2,1.0,28.3,110.0,0.7
29,1992,28,18.7,298.2,59.9,2.0,0.9,17.2,29.9,187.6,1.2,1.2,27.4,110.5,0.7
30,1991,28,19.0,306.8,60.8,2.0,0.9,17.9,31.1,199.1,1.1,1.1,27.4,107.7,0.8
31,1990,28,20.1,308.6,60.3,2.0,0.9,16.9,30.2,194.8,1.3,1.1,27.8,113.9,0.8
32,1989,28,20.6,326.2,63.6,2.2,0.9,17.9,32.0,210.9,1.3,1.2,29.2,115.3,0.9
33,1988,28,20.3,322.1,64.2,2.2,0.9,17.1,31.5,200.7,1.2,1.2,30.3,121.4,0.9
34,1987,28,21.6,327.8,66.2,2.4,1.1,17.6,32.1,203.9,1.5,1.3,31.4,123.9,0.9
35,1986,28,20.5,324.2,65.1,2.3,1.0,17.9,32.3,205.5,1.3,1.3,30.2,118.7,0.9
36,1985,28,21.5,329.4,65.5,2.4,1.0,17.7,32.2,204.5,1.3,1.3,30.4,124.9,1.0
37,1984,28,21.2,329.8,65.7,2.3,1.0,18.0,32.0,205.9,1.4,1.3,30.8,123.9,0.9
38,1983,28,21.8,334.4,65.8,2.5,1.1,17.8,31.4,204.6,1.4,1.4,31.7,129.7,1.0
39,1982,28,20.2,317.2,65.0,2.4,1.0,17.8,31.5,199.4,1.3,1.4,30.8,117.8,0.9
40,1981,28,20.7,334.5,66.3,2.5,1.1,17.3,31.7,204.4,1.3,1.4,32.4,130.1,1.0
41,1980,28,20.5,323.5,65.0,2.3,0.9,17.2,30.6,196.0,1.4,1.4,32.1,127.5,1.0
42,1979,28,20.1,315.9,65.2,2.4,1.1,15.7,29.0,180.4,1.2,1.3,33.9,135.6,1.1
43,1978,28,18.3,300.7,64.6,2.5,1.1,14.0,26.4,158.8,1.0,1.4,35.9,141.8,1.0
44,1977,28,17.2,285.8,64.8,2.5,1.1,12.8,25.0,141.9,1.0,1.4,37.4,143.9,0.9
45,1976,28,19.2,302.7,65.7,2.5,1.2,13.7,26.2,152.0,1.1,1.3,36.9,150.7,1.1
46,1975,26,20.6,308.3,66.2,2.6,1.1,14.4,27.4,162.8,1.2,1.5,36.3,145.5,1.1
47,1974,26,18.2,286.5,63.0,2.3,1.0,13.8,26.4,153.2,1.0,1.4,34.4,133.3,1.0
48,1973,26,19.5,285.3,62.2,2.4,1.1,12.6,24.3,140.9,1.0,1.3,35.5,144.4,0.9
49,1972,26,20.3,291.4,60.5,2.3,1.0,12.8,24.8,152.1,1.1,1.3,33.7,139.4,1.0
50,1971,26,19.4,285.8,60.3,2.6,1.1,13.2,25.9,155.7,1.1,1.5,32.4,130.1,0.9
51,1970,26,19.3,281.8,60.7,2.4,1.0,13.8,26.9,161.4,1.2,1.4,31.4,120.4,0.8
52,1969,16,20.9,299.4,61.3,2.4,1.0,14.9,28.3,177.5,1.4,1.4,30.5,122.0,0.9
53,1968,16,20.5,295.3,60.7,2.5,1.0,13.8,26.8,168.5,1.4,1.5,31.5,126.8,0.9
54,1967,16,21.8,299.8,61.9,2.6,1.0,14.7,28.8,179.5,1.4,1.6,30.7,120.2,1.0
55,1966,15,21.7,299.2,62.9,2.6,1.0,15.0,29.1,178.3,1.3,1.5,31.0,121.0,1.0
56,1965,14,23.1,304.5,61.0,2.6,1.2,14.2,27.6,183.8,1.6,1.4,30.8,120.7,1.0
57,1964,14,22.0,297.6,61.8,2.5,1.2,14.3,27.7,173.6,1.4,1.3,31.0,124.0,1.0
58,1963,14,22.0,312.1,61.4,2.7,1.1,14.2,27.6,185.7,1.5,1.5,31.2,126.4,1.0
59,1962,14,22.3,319.7,60.9,2.9,1.2,14.6,27.3,193.8,1.5,1.7,30.9,125.9,1.1
60,1961,14,21.5,311.9,60.8,2.9,1.2,14.1,27.0,180.5,1.5,1.7,31.2,131.5,1.0
61,1960,13,21.6,303.8,61.5,2.9,1.1,13.2,26.4,170.6,1.4,1.8,32.6,133.1,1.0
62,1959,12,21.3,313.5,62.0,2.8,1.3,12.9,25.8,169.8,1.4,1.5,34.0,143.7,1.1
63,1958,12,22.6,321.6,62.8,3.1,1.4,13.6,27.4,180.4,1.5,1.7,33.4,141.2,1.2
64,1957,12,19.8,293.1,61.3,2.9,1.3,11.7,23.2,153.4,1.2,1.6,35.8,139.7,1.1
65,1956,12,20.4,303.2,62.4,2.8,1.1,11.5,22.8,147.6,1.1,1.7,37.9,155.6,1.2
66,1955,12,20.8,306.8,65.3,3.3,1.5,12.7,26.5,159.8,1.3,1.8,36.8,147.1,1.2
67,1954,12,21.9,323.4,65.0,3.4,1.4,14.8,29.4,191.6,1.5,2.0,33.2,131.8,1.1
68,1953,12,21.5,307.4,65.5,3.5,1.4,14.0,29.6,173.8,1.3,2.1,33.5,133.6,1.2
69,1952,12,22.3,294.1,66.4,3.6,1.5,12.9,27.9,160.0,1.5,2.1,35.2,134.2,1.0
70,1951,12,21.9,314.7,67.1,3.3,1.3,12.6,27.0,162.7,1.4,2.0,37.5,152.0,1.2
71,1950,13,22.9,320.1,67.3,3.7,1.5,12.9,27.6,165.7,1.4,2.2,37.1,154.3,1.3
72,1949,10,22.5,311.6,68.2,3.4,1.3,12.7,27.3,161.0,1.4,2.1,38.7,150.6,1.3
73,1948,10,23.2,325.4,63.9,3.5,1.5,12.5,26.0,173.9,1.6,1.9,37.9,151.5,1.3
74,1947,10,22.0,319.6,60.6,3.5,1.4,11.7,24.9,180.6,1.6,2.1,35.7,139.0,1.1
75,1946,10,18.9,268.6,59.1,3.6,1.7,9.5,21.3,143.1,1.1,1.9,37.8,125.5,1.3
76,1945,10,18.5,266.5,57.3,3.0,1.1,9.6,21.1,143.8,1.1,1.9,36.2,122.7,1.3
77,1944,11,18.0,248.2,58.4,3.5,1.1,9.1,21.1,129.3,1.2,2.3,37.2,119.0,1.2
78,1943,10,19.5,259.7,58.5,3.2,0.9,9.6,21.7,141.4,1.4,2.3,36.8,118.3,1.1
79,1942,10,15.9,246.8,57.3,3.0,1.1,9.0,20.4,123.7,1.0,2.0,36.8,123.1,0.9
80,1941,10,16.5,238.5,57.1,3.1,1.1,8.9,20.1,121.8,0.9,2.0,37.1,116.7,1.0
81,1940,10,15.1,245.0,58.1,2.0,0.0,8.8,20.5,125.3,0.9,2.0,37.6,119.6,0.9
82,1939,10,15.4,249.4,57.4,1.9,0.0,8.7,20.3,128.8,0.9,1.9,37.0,120.6,0.9
83,1938,10,13.5,230.4,56.1,2.0,0.0,7.5,18.5,105.8,0.8,2.0,37.7,124.6,0.8
84,1937,10,12.9,219.9,55.2,1.9,0.0,6.3,16.5,93.0,0.8,1.9,38.7,126.9,0.6
85,1936,9,11.9,225.3,56.6,2.0,0.0,5.6,15.3,83.0,0.6,2.0,41.2,142.3,0.7
86,1935,9,10.9,196.2,54.2,2.2,0.0,5.2,15.4,79.7,0.6,2.2,38.8,116.4,0.6
87,1934,11,10.8,200.7,50.4,1.7,0.0,4.2,13.4,59.3,0.5,1.7,37.0,141.4,0.8
88,1933,10,9.7,198.9,50.4,2.2,0.0,5.1,14.3,77.9,0.5,2.2,36.1,121.0,0.6
89,1932,8,8.2,165.1,44.6,1.0,0.0,3.9,10.9,55.2,0.4,1.0,33.7,109.9,0.6
