,Year,Y/A Factor,Cmp% Factor,TD% Factor,Int% Factor
0,1978,1.0,1.0,1.0,1.0
1,1979,1.0215206915552753,1.0194039524871712,1.0477151453729001,0.8514914124550058
2,1980,1.0408009351785512,1.058478400566992,1.1176241124800044,0.8469069065982909
3,1981,1.0456347980751592,1.0291339650270876,1.0534487902788325,0.7950386380341286
4,1982,1.0431625155180464,1.0626377642607105,1.0195644936600439,0.8143950893900738
5,1983,1.0682475361296235,1.072143583958219,1.1246013839984084,0.8170625041151252
6,1984,1.0611239292556354,1.0622540609691618,1.0851322325144315,0.7546844300240068
7,1985,1.0465430150004078,1.0334810111022938,1.047967366937068,0.7726593446370055
8,1986,1.0392081294268192,1.0436083418646065,1.023673069391502,0.7433353548155568
9,1987,1.0346842169534478,1.0329504296623928,1.1447199367479555,0.7409634592075468
10,1988,1.0273117796350257,1.0227021948112198,0.9944983660219667,0.7244349734858565
11,1989,1.0624743500254434,1.0513035510801412,1.02597454853697,0.721722766973347
12,1990,1.0417689992961654,1.055575113459149,1.0752806739970102,0.6574159368760655
13,1991,1.0242802854138124,1.0809493126706333,0.9258675673191802,0.6475790465613274
14,1992,1.0203411060210714,1.0827678753361552,0.9727200752707913,0.7165566489629903
15,1993,0.9953307521990368,1.0916431310166972,0.9065843215107819,0.6023313927317664
16,1994,1.0061576066469136,1.0936512500512052,0.9787260041145536,0.5827951235574981
17,1995,1.0067525081887163,1.0963985649935335,1.0035181747410025,0.5675794592293767
18,1996,0.9932970826137636,1.0854854356204608,0.9910153627741001,0.6284204874325077
19,1997,0.9952848592961073,1.0594350622201285,0.9914851874130913,0.5637435352360416
20,1998,1.0183670255328832,1.066362359615558,1.0737537474899475,0.6083332802894801
21,1999,1.004729535566925,1.0755447385688248,1.0028819380698855,0.6207396327047406
22,2000,1.003242317924528,1.0963261795830088,0.9817887765136878,0.6022382302638278
23,2001,1.0074635483595502,1.111119513545388,0.9919060658353657,0.6235026706393315
24,2002,0.9991582355893959,1.1238507005616918,1.0144167749129582,0.5652438805863168
25,2003,0.9868546480428101,1.1075794132941066,1.0022596999193132,0.6038510006663803
26,2004,1.048619806963991,1.1258646551452427,1.1313299028231156,0.5931362501370787
27,2005,1.0089487130282775,1.1204024628556195,0.9886730333158905,0.5689345825520014
28,2006,1.0186101008432678,1.1262194972964465,0.9993663667469268,0.5873514727185903
29,2007,1.0195077609525878,1.1524067104569533,1.0676715481643613,0.5799511648949136
30,2008,1.0325596041449976,1.1493772235372821,0.9880227582333356,0.5208736382959501
31,2009,1.0380599408595732,1.147355712082389,1.05358451994394,0.5694915889591842
32,2010,1.0413433642952694,1.1446597660455564,1.0991954606668835,0.5477733309735456
33,2011,1.0703502191345518,1.132467325245622,1.0815825711718876,0.5380206184454996
34,2012,1.0527957739300469,1.1474885026885266,1.0756498907359038,0.4870414300509601
35,2013,1.0590423341385697,1.153417234240097,1.1205125377489735,0.5124003098135941
36,2014,1.0719452106033807,1.1803247632161693,1.1408603561548356,0.46592548185809296
37,2015,1.078203982386106,1.1869690373638286,1.1630828365717425,0.4410928719473176
38,2016,1.0635487727420132,1.1870606858099981,1.0859061954716505,0.4199164193505755
39,2017,1.043045506532681,1.1696513070665742,1.070977241537054,0.45517194352452006
40,2018,1.096081678803078,1.2221541805427434,1.211502911477446,0.4389348559999766
41,2019,1.0736145934240922,1.1958694047474574,1.128364190748664,0.42512811329035843
42,2020,1.0768955016475663,1.2293618031114049,1.221838346838347,0.40582396216199035
43,2021,1.0552308998939688,1.220520175641344,1.1346482717795243,0.4352909533587444
