,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,Year
0,1,Walter Payton,CHI,24,RB,16,16,333,1395,11,76,4.2,87.2,5,1978
1,1,Walter Payton,CHI,25,RB,16,16,369,1610,14,43,4.4,100.6,7,1979
2,2,Walter Payton,CHI,26,RB,16,16,317,1460,6,69,4.6,91.3,5,1980
3,4,Walter Payton,CHI,27,RB,16,16,339,1222,6,39,3.6,76.4,9,1981
4,10,Walter Payton,CHI,28,RB,9,9,148,596,1,26,4.0,66.2,3,1982
5,6,Walter Payton,CHI,29,RB,16,16,314,1421,6,49,4.5,88.8,5,1983
6,2,Walter Payton,CHI,30,RB,16,16,381,1684,11,72,4.4,105.3,5,1984
7,4,Walter Payton,CHI,31,RB,16,16,324,1551,9,40,4.8,96.9,6,1985
8,4,Walter Payton,CHI,32,RB,16,16,321,1333,8,41,4.2,83.3,6,1986
9,18,Walter Payton,CHI,33,RB,12,12,146,533,4,17,3.7,44.4,5,1987
10,2,Franco Harris,PIT,28,FB,16,16,310,1082,8,37,3.5,67.6,4,1978
11,6,Franco Harris,PIT,29,FB,15,15,267,1186,11,71,4.4,79.1,11,1979
12,13,Franco Harris,PIT,30,FB,13,13,208,789,4,26,3.8,60.7,7,1980
13,15,Franco Harris,PIT,31,FB,16,16,242,987,8,50,4.1,61.7,6,1981
14,13,Franco Harris,PIT,32,FB,9,9,140,604,2,21,4.3,67.1,1,1982
15,10,Franco Harris,PIT,33,FB,16,16,279,1007,5,19,3.6,62.9,10,1983
16,3,Earl Campbell,HOU,23,RB,15,14,302,1450,13,81,4.8,96.7,9,1978
17,2,Earl Campbell,HOU,24,RB,16,16,368,1697,19,61,4.6,106.1,8,1979
18,1,Earl Campbell,HOU,25,RB,15,15,373,1934,13,55,5.2,128.9,4,1980
19,2,Earl Campbell,HOU,26,RB,16,16,361,1376,10,43,3.8,86.0,10,1981
20,7,Earl Campbell,HOU,27,RB,9,9,157,538,2,22,3.4,59.8,2,1982
21,5,Earl Campbell,HOU,28,RB,14,14,322,1301,12,42,4.0,92.9,4,1983
22,31,Earl Campbell,NOR,30,RB,16,12,158,643,1,45,4.1,40.2,4,1985
23,4,Tony Dorsett,DAL,24,RB,16,15,290,1325,7,63,4.6,82.8,12,1978
24,9,Tony Dorsett,DAL,25,RB,14,14,250,1107,6,41,4.4,79.1,9,1979
25,6,Tony Dorsett,DAL,26,RB,15,15,278,1185,11,56,4.3,79.0,8,1980
26,3,Tony Dorsett,DAL,27,RB,16,16,342,1646,4,75,4.8,102.9,10,1981
27,1,Tony Dorsett,DAL,28,RB,9,9,177,745,5,99,4.2,82.8,6,1982
28,9,Tony Dorsett,DAL,29,RB,16,16,289,1321,8,77,4.6,82.6,5,1983
29,6,Tony Dorsett,DAL,30,RB,16,16,302,1189,6,31,3.9,74.3,12,1984
30,5,Tony Dorsett,DAL,31,RB,16,16,305,1307,7,60,4.3,81.7,7,1985
31,21,Tony Dorsett,DAL,32,RB,13,12,184,748,5,33,4.1,57.5,5,1986
32,21,Tony Dorsett,DEN,34,RB,16,13,181,703,5,26,3.9,43.9,6,1988
33,5,Terdell Middleton,GNB,23,RB,16,16,284,1116,11,76,3.9,69.8,8,1978
34,6,Delvin Williams,MIA,27,RB,16,15,272,1258,8,58,4.6,78.6,4,1978
35,25,Delvin Williams,MIA,28,RB,14,13,184,703,3,39,3.8,50.2,4,1979
36,18,Delvin Williams,MIA,29,RB,15,10,187,671,2,65,3.6,44.7,5,1980
37,7,Mark van Eeghen,OAK,26,FB,16,16,270,1080,9,34,4.0,67.5,5,1978
38,14,Mark van Eeghen,OAK,27,FB,16,16,223,818,7,19,3.7,51.1,3,1979
39,10,Mark van Eeghen,OAK,28,FB,16,16,222,838,5,34,3.8,52.4,3,1980
40,8,Wilbert Montgomery,PHI,24,RB,14,14,259,1220,9,47,4.7,87.1,6,1978
41,3,Wilbert Montgomery,PHI,25,RB,16,16,338,1512,9,62,4.5,94.5,14,1979
42,17,Wilbert Montgomery,PHI,26,RB,12,12,193,778,8,72,4.0,64.8,3,1980
43,8,Wilbert Montgomery,PHI,27,RB,15,15,286,1402,8,41,4.9,93.5,6,1981
44,21,Wilbert Montgomery,PHI,28,RB,8,8,114,515,7,90,4.5,64.4,3,1982
45,19,Wilbert Montgomery,PHI,30,RB,16,15,201,789,2,27,3.9,49.3,5,1984
46,9,John Riggins,WAS,29,FB,15,15,248,1014,5,31,4.1,67.6,7,1978
47,8,John Riggins,WAS,30,FB,16,15,260,1153,9,66,4.4,72.1,5,1979
48,22,John Riggins,WAS,32,rb,15,4,195,714,13,24,3.7,47.6,1,1981
49,3,John Riggins,WAS,33,RB,8,8,177,553,3,19,3.1,69.1,2,1982
50,2,John Riggins,WAS,34,RB,15,15,375,1347,24,44,3.6,89.8,5,1983
51,5,John Riggins,WAS,35,RB,14,14,327,1239,14,24,3.8,88.5,7,1984
52,25,John Riggins,WAS,36,RB,12,11,176,677,8,51,3.8,56.4,3,1985
53,10,Roland Harper,CHI,25,FB,16,16,240,992,6,31,4.1,62.0,2,1978
54,11,Joe Washington,BAL,25,RB,16,12,240,956,0,29,4.0,59.8,12,1978
55,11,Joe Washington,BAL,26,RB,15,15,242,884,4,26,3.7,58.9,8,1979
56,35,Joe Washington,BAL,27,RB,16,11,144,502,1,17,3.5,31.4,5,1980
57,17,Joe Washington,WAS,28,RB,14,13,210,916,4,32,4.4,65.4,8,1981
58,35,Joe Washington,WAS,30,,15,1,145,772,0,41,5.3,51.5,2,1983
59,12,Terry Miller,BUF,22,RB,16,16,238,1060,7,60,4.5,66.3,8,1978
60,13,Chuck Foreman,MIN,28,FB,14,14,237,749,5,21,3.2,53.5,8,1978
61,14,Dexter Bussey,DET,26,RB,16,16,225,924,5,36,4.1,57.8,9,1978
62,33,Dexter Bussey,DET,27,RB,16,10,144,625,1,38,4.3,39.1,3,1979
63,34,Dexter Bussey,DET,28,FB,16,16,145,720,3,40,5.0,45.0,2,1980
64,15,Kevin Long,NYJ,23,FB,16,16,214,954,10,27,4.5,59.6,4,1978
65,16,Lydell Mitchell,SDG,29,RB,16,11,214,820,3,25,3.8,51.3,2,1978
66,17,Tony Reed,KAN,23,LH,16,16,206,1053,5,62,5.1,65.8,6,1978
67,18,Sam Cunningham,NWE,28,FB,16,14,199,768,8,52,3.9,48.0,4,1978
68,30,Sam Cunningham,NWE,29,FB,12,12,159,563,5,27,3.5,46.9,4,1979
69,19,Jim Otis,STL,30,FB,15,9,197,664,8,17,3.4,44.3,4,1978
70,20,Bubba Bean,ATL,24,FB,15,15,193,707,3,25,3.7,47.1,7,1978
71,21,Haskel Stanback,ATL,26,RB,15,15,188,588,5,26,3.1,39.2,5,1978
72,22,Tony Galbreath,NOR,24,FB,16,16,186,635,5,20,3.4,39.7,6,1978
73,21,Tony Galbreath,NOR,25,FB,15,15,189,708,9,27,3.7,47.2,5,1979
74,23,Ricky Bell,TAM,23,RB,12,9,185,679,6,56,3.7,56.6,1,1978
75,5,Ricky Bell,TAM,24,FB,16,16,283,1263,7,49,4.5,78.9,6,1979
76,24,Ricky Bell,TAM,25,FB,14,12,174,599,2,40,3.4,42.8,3,1980
77,24,Pete Johnson,CIN,24,FB,16,10,180,762,7,50,4.2,47.6,4,1978
78,10,Pete Johnson,CIN,25,FB,16,13,243,865,14,35,3.6,54.1,6,1979
79,19,Pete Johnson,CIN,26,FB,12,8,186,747,6,57,4.0,62.3,2,1980
80,10,Pete Johnson,CIN,27,FB,16,16,274,1077,12,39,3.9,67.3,4,1981
81,8,Pete Johnson,CIN,28,FB,9,9,156,622,7,21,4.0,69.1,1,1982
82,20,Pete Johnson,CIN,29,FB,11,8,210,763,14,16,3.6,69.4,2,1983
83,25,Cullen Bryant,RAM,27,RB,16,9,178,658,7,26,3.7,41.1,0,1978
84,26,Cullen Bryant,RAM,28,FB,16,16,177,619,5,15,3.5,38.7,2,1979
85,20,Cullen Bryant,RAM,29,FB,16,16,183,807,3,20,4.4,50.4,1,1980
86,26,Greg Pruitt,CLE,27,RB,12,12,176,960,3,70,5.5,80.0,12,1978
87,27,John Cappelletti,RAM,26,FB,14,14,174,604,3,26,3.5,43.1,4,1978
88,28,Wayne Morris,STL,24,RB,13,13,174,631,1,27,3.6,48.5,1,1978
89,29,David Sims,SEA,23,FB,12,9,174,752,14,44,4.3,62.7,4,1978
90,30,Arthur Whittington,OAK,23,RB,16,9,172,661,7,26,3.8,41.3,2,1978
91,31,Scott Dierking,NYJ,23,RB,15,13,170,681,4,26,4.0,45.4,2,1978
92,23,Scott Dierking,NYJ,24,RB,16,14,186,767,3,40,4.1,47.9,1,1979
93,29,Scott Dierking,NYJ,25,RB,16,13,156,567,6,15,3.6,35.4,3,1980
94,32,Rocky Bleier,PIT,32,RB,16,16,165,633,5,24,3.8,39.6,6,1978
95,33,Sherman Smith,SEA,24,RB,12,12,165,805,6,67,4.9,67.1,3,1978
96,20,Sherman Smith,SEA,25,RB,16,15,194,775,11,31,4.0,48.4,1,1979
97,34,O.J. Simpson,SFO,31,RB,10,10,161,593,1,34,3.7,59.3,5,1978
98,35,Mike Thomas,WAS,25,RB,13,13,161,533,3,26,3.3,41.0,7,1978
99,36,Arnold Morgado,KAN,26,FB,16,9,160,593,7,18,3.7,37.1,2,1978
100,37,Chuck Muncie,NOR,25,RB,13,11,160,557,7,28,3.5,42.8,7,1978
101,13,Chuck Muncie,NOR,26,RB,16,15,238,1198,11,69,5.0,74.9,8,1979
102,23,Chuck Muncie,2TM,27,,15,8,175,827,6,53,4.7,55.1,11,1980
103,13,Chuck Muncie,SDG,28,RB,15,14,251,1144,19,73,4.6,76.3,9,1981
104,15,Chuck Muncie,SDG,29,RB,9,9,138,569,8,27,4.1,63.2,4,1982
105,16,Chuck Muncie,SDG,30,RB,15,12,235,886,12,34,3.8,59.1,8,1983
106,38,Horace King,DET,25,FB,15,15,155,660,4,75,4.3,44.0,3,1978
107,39,Barty Smith,GNB,26,FB,16,16,154,567,4,33,3.7,35.4,5,1978
108,40,Don Woods,SDG,27,FB,16,7,151,514,3,27,3.4,32.1,5,1978
109,41,Doug Kotar,NYG,27,rb,15,5,149,625,1,46,4.2,41.7,1,1978
110,29,Doug Kotar,NYG,28,RB,16,14,160,616,3,32,3.9,38.5,3,1979
111,42,Andy Johnson,NWE,26,RB,15,13,147,675,3,52,4.6,45.0,4,1978
112,43,Mike Hogan,PHI,24,FB,14,12,145,607,4,33,4.2,43.4,5,1978
113,44,Horace Ivory,NWE,24,,15,3,141,693,11,28,4.9,46.2,5,1978
114,34,Horace Ivory,NWE,25,RB,11,9,143,522,1,52,3.7,47.5,4,1979
115,45,Robert Newhouse,DAL,28,FB,13,12,140,584,8,24,4.2,44.9,1,1978
116,46,Mike Pruitt,CLE,24,FB,16,9,135,560,5,71,4.1,35.0,3,1978
117,7,Mike Pruitt,CLE,25,FB,16,16,264,1294,9,77,4.9,80.9,6,1979
118,8,Mike Pruitt,CLE,26,FB,16,16,249,1034,6,56,4.2,64.6,9,1980
119,14,Mike Pruitt,CLE,27,FB,16,16,247,1103,7,21,4.5,68.9,5,1981
120,12,Mike Pruitt,CLE,28,FB,9,9,143,516,3,17,3.6,57.3,4,1982
121,8,Mike Pruitt,CLE,29,RB,15,14,293,1184,10,27,4.0,78.9,4,1983
122,23,Mike Pruitt,CLE,30,rb,10,7,163,506,6,14,3.1,50.6,1,1984
123,49,Bobby Hammond,NYG,26,RB,14,11,131,554,1,39,4.2,39.6,4,1978
124,50,Curtis Brown,BUF,24,FB,15,10,128,591,4,58,4.6,39.4,7,1978
125,28,Curtis Brown,BUF,25,FB,15,15,172,574,1,25,3.3,38.3,10,1979
126,31,Curtis Brown,BUF,26,FB,16,16,153,559,3,34,3.7,34.9,4,1980
127,53,Leroy Harris,MIA,24,FB,15,11,123,512,2,51,4.2,34.1,5,1978
128,51,Leroy Harris,PHI,25,FB,15,13,107,504,2,80,4.7,33.6,3,1979
129,62,Ted McKnight,KAN,24,RH,16,14,104,627,6,41,6.0,39.2,2,1978
130,31,Ted McKnight,KAN,25,FB,15,14,153,755,8,84,4.9,50.3,5,1979
131,14,Ted McKnight,KAN,26,FB,16,16,206,693,3,25,3.4,43.3,5,1980
132,4,Ottis Anderson,STL,22,RB,16,16,331,1605,8,76,4.8,100.3,10,1979
133,5,Ottis Anderson,STL,23,RB,16,16,301,1352,9,52,4.5,84.5,5,1980
134,5,Ottis Anderson,STL,24,RB,16,16,328,1376,9,28,4.2,86.0,13,1981
135,11,Ottis Anderson,STL,25,RB,8,8,145,587,3,64,4.0,73.4,2,1982
136,7,Ottis Anderson,STL,26,RB,15,15,296,1270,5,43,4.3,84.7,10,1983
137,9,Ottis Anderson,STL,27,RB,15,15,289,1174,6,24,4.1,78.3,8,1984
138,3,Ottis Anderson,NYG,32,RB,16,16,325,1023,14,36,3.1,63.9,2,1989
139,11,Ottis Anderson,NYG,33,RB,16,11,225,784,11,28,3.5,49.0,1,1990
140,12,William Andrews,ATL,24,FB,15,15,239,1023,3,23,4.3,68.2,5,1979
141,7,William Andrews,ATL,25,FB,16,16,265,1308,4,33,4.9,81.8,6,1980
142,7,William Andrews,ATL,26,FB,16,16,289,1301,10,29,4.5,81.3,12,1981
143,14,William Andrews,ATL,27,FB,9,9,139,573,5,19,4.1,63.7,1,1982
144,4,William Andrews,ATL,28,RB,16,16,331,1567,7,27,4.7,97.9,6,1983
145,15,Larry Csonka,MIA,33,FB,16,16,220,837,12,22,3.8,52.3,4,1979
146,16,Wendell Tyler,RAM,24,RB,16,12,218,1109,9,63,5.1,69.3,9,1979
147,11,Wendell Tyler,RAM,26,RB,15,15,260,1074,12,69,4.1,71.6,11,1981
148,16,Wendell Tyler,RAM,27,RB,9,9,137,564,9,54,4.1,62.7,10,1982
