,Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Year,Tgt,Ctch%
0,1,Sterling Sharpe,GNB,27,WR,16,16,108,1461,13.5,13,76,9.0,6.8,91.3,2,1992,162.0,66.7%
1,1,Sterling Sharpe,GNB,28,WR,16,16,112,1274,11.4,11,54,6.7,7.0,79.6,1,1993,189.0,59.3%
2,5,Sterling Sharpe,GNB,29,WR,16,16,94,1119,11.9,18,49,7.0,5.9,69.9,1,1994,159.0,59.1%
3,2,Andre Rison,ATL,25,WR,15,13,93,1119,12.0,11,71,7.8,6.2,74.6,2,1992,144.0,64.6%
4,5,Andre Rison,ATL,26,WR,16,16,86,1242,14.4,15,53,7.5,5.4,77.6,2,1993,165.0,52.1%
5,12,Andre Rison,ATL,27,WR,15,14,81,1088,13.4,8,69,7.1,5.4,72.5,1,1994,154.0,52.6%
6,72,Andre Rison,CLE,28,WR,16,14,47,701,14.9,3,59,6.8,2.9,43.8,1,1995,103.0,45.6%
7,66,Andre Rison,2TM,29,,15,13,47,593,12.6,3,61,6.6,3.1,39.5,1,1996,90.0,52.2%
8,16,Andre Rison,KAN,30,WR,16,16,72,1092,15.2,7,45,7.2,4.5,68.3,0,1997,151.0,47.7%
9,76,Andre Rison,KAN,31,WR,14,13,40,542,13.6,5,80,5.9,2.9,38.7,1,1998,92.0,43.5%
10,83,Andre Rison,OAK,33,,16,0,41,606,14.8,6,49,8.7,2.6,37.9,0,2000,70.0,58.6%
11,3,Haywood Jeffires,HOU,28,WR,16,16,90,913,10.1,9,47,6.6,5.6,57.1,1,1992,138.0,65.2%
12,22,Haywood Jeffires,HOU,29,WR,16,16,66,753,11.4,6,66,6.2,4.1,47.1,5,1993,122.0,54.1%
13,26,Haywood Jeffires,HOU,30,WR,16,16,68,783,11.5,6,50,6.4,4.3,48.9,0,1994,122.0,55.7%
14,42,Haywood Jeffires,HOU,31,WR,16,16,61,684,11.2,8,35,7.1,3.8,42.8,0,1995,96.0,63.5%
15,4,Jerry Rice,SFO,30,WR,16,16,84,1201,14.3,10,80,8.6,5.3,75.1,2,1992,139.0,60.4%
16,2,Jerry Rice,SFO,31,WR,16,16,98,1503,15.3,15,80,9.8,6.1,93.9,3,1993,153.0,64.1%
17,2,Jerry Rice,SFO,32,WR,16,16,112,1499,13.4,13,69,9.9,7.0,93.7,1,1994,151.0,74.2%
18,3,Jerry Rice,SFO,33,WR,16,16,122,1848,15.1,15,81,10.5,7.6,115.5,3,1995,176.0,69.3%
19,1,Jerry Rice,SFO,34,WR,16,16,108,1254,11.6,8,39,8.2,6.8,78.4,0,1996,153.0,70.6%
20,9,Jerry Rice,SFO,36,WR,16,16,82,1157,14.1,9,75,7.7,5.1,72.3,2,1998,151.0,54.3%
21,32,Jerry Rice,SFO,37,WR,16,16,67,830,12.4,5,62,6.7,4.2,51.9,0,1999,124.0,54.0%
22,23,Jerry Rice,SFO,38,WR,16,16,75,805,10.7,7,68,6.6,4.7,50.3,3,2000,122.0,61.5%
23,15,Jerry Rice,OAK,39,WR,16,15,83,1139,13.7,9,40,9.1,5.2,71.2,1,2001,125.0,66.4%
24,9,Jerry Rice,OAK,40,WR,16,16,92,1211,13.2,7,75,8.1,5.8,75.7,1,2002,150.0,61.3%
25,33,Jerry Rice,OAK,41,WR,16,15,63,869,13.8,2,47,7.0,3.9,54.3,2,2003,124.0,50.8%
26,5,Curtis Duncan,HOU,27,WR,16,16,82,954,11.6,1,72,8.7,5.1,59.6,0,1992,110.0,74.5%
